customer_id,city,state,zip
1227,Santa Fe,NM,87505
1473,WIlson,WY,83014
1375,santa barbara,ca,93110
1474,Delhi,LA,71232
1294,San Francisco,CA,94123
1454,Chevy Chase,MD,20815
1476,Jersey City,NJ,07302
1117,Atlanta,GA,30309
1439,Moline,IL,61265
214,Hayden Lake,ID,83835
1097,San Jose,CA,95125
1392,Nashville,TN,37215
1449,Portola Valley,CA,94028
1561,Toledo,OH,43615
1577,Billings,MT,59101
1490,Cave Creek,AZ,85327
1495,Tallulah,LA,71282
1494,Corona Del Mar,CA,92625
1492,Bloomington,IN,47403
1514,Burr Ridge,IL,60527
1513,"Atlanta, Ga",GA,30327
1543,Denver,CO,80206
1496,New Bern,NC,28562
1498,Armonk,NY,10504
1497,Midland,TX,79705
1500,Menlo Park,CA,94025
350,SAn Fransisco,CA,94115
1380,Hattiesburg,MS,39402
1447,Stamford,CT,06903
1539,Fargo,ND,58102
1570,Denver,CO,80223
1580,Winston Salem,NC,27106
1579,Washington,DC,20016
1552,Fort Worth,TX,76108
1563,Denver,CO,80210
1540,Chicago,IL,60610
1564,San Antonio,TX,78204
1528,BOSTON,MA,02210
1535,Charleston,SC,29407
1582,New York,NY,10019/
1316,Mill Valley,CA,94941
1608,Short Hills,NJ,07078
1647,Ann Arbor,MI,48107
1537,Minnetonka,MN,55345
1609,Denver,CO,80238
1635,New York,NY,10004
1634,New York,NY,10004
1633,New York,NY,10004
1632,New York,NY,10004
1631,New York,NY,10004
1630,New York,NY,10004
1629,New York,NY,10004
1587,San Francisco,CO,941025032
1595,Modesto,CA,95355
1617,perkasie,PA,18944
1602,Minnetonka,MN,55343
1336,Hunts Point,WA,98004
1690,Stratton,CO,80836
794,Berkeley Springs,WV,25411
1757,Huntington Beach,CA,92658
1723,Dallas,TX,75218
1738,Youngstown,OH,44515
1758,miami,FL,33127
1670,Fort Myers,FL,33901
1760,Apopka,FL,32712
1724,Reno,NV,89511
1762,Washington,DC,20008
1764,Winston Salem,NC,27106
1763,Hopkinton,MA,01748
